,강력범,기타형사범,절도범,지능범,특별법범,폭력범,풍속범,강수량,최고기온,최저기온,습도,풍향,풍속
2000.01,209,1060,1173,4730,15486,8330,220,42.8,9.9,-12.1,63.2968,290,2.6
2000.02,199,876,1093,3988,12475,6359,220,2.1,7.5,-11.6,54.903,230,2.7
2000.03,229,1024,1402,4166,14237,7972,220,3.1,18.9,-4.8,54.132,230,3
2000.04,225,809,1216,3484,12639,6525,220,30.7,23.5,1.8,55.176,290,2.9
2000.05,226,1001,1472,3730,13273,7677,220,75.2,30.5,7.9,65.6143,230,2.3
2000.06,298,1010,3154,3839,15048,8116,220,68.1,33.9,14.6,64.236,90,1.9
2000.07,326,1085,4166,3598,14283,8558,220,114.7,34.2,19.9,72.4709,230,2.1
2000.08,369,1158,4578,3901,15772,8783,220,599.4,35.1,19,77.7647,180,1.7
2000.09,339,1138,4278,3596,14653,8916,220,178.5,31,11.9,69.6867,200,1.7
2000.1,325,1154,4044,3577,16053,8382,220,18.1,26.5,3.5,63.3774,270,1.5
2000.11,267,1075,3902,3857,16741,8368,220,27.1,20.3,-3.8,55.9433,270,1.8
2000.12,325,1129,5551,3753,15140,8948,220,27,11.9,-11.4,59.9903,230,2.2
2001.01,248,766,3815,3438,14862,7760,251,39.4,6.8,-18.6,61.9807,270,2.2
2001.02,304,744,4480,3781,13565,6847,277,45.7,12.2,-10.4,60.092,290,2.1
2001.03,388,851,5151,4296,15995,8663,352,18.1,21,-6.1,51.3704,270,2.8
2001.04,361,741,4519,3637,15638,7850,272,12.3,28.2,2.1,49.56,230,2.5
2001.05,346,877,5344,4095,18458,9246,267,16.5,31.5,10.4,60.374,230,2.1
2001.06,361,803,4460,3950,16744,8506,247,157.4,32.7,15.6,69.88,230,1.6
2001.07,325,885,4299,4030,15263,8856,268,698.4,32.8,20.3,75.5709,250,1.4
2001.08,361,832,4273,3963,16833,8935,243,252,35.3,19.4,69.0516,250,1
2001.09,387,861,4126,4050,19205,8988,345,49.3,31.7,11,58.1,70,1.1
2001.1,377,854,4217,3843,16748,8491,272,68.2,25.3,8.8,65.2876,200,1.3
2001.11,277,769,3908,3932,16450,7767,247,13,16,-3.1,58.473,270,1.7
2001.12,287,721,3646,3578,15505,7074,207,15.7,10.9,-8.8,48.8804,250,2.1
2002.01,290,756,3354,3769,14767,7079,251,37.4,13.5,-12,63.286,290,2.3
2002.02,264,613,3580,3366,11377,5378,253,2.4,12.6,-5.1,54.817,270,2
2002.03,322,780,5678,3895,13280,6497,258,31.5,19.4,-2.9,54.6674,250,2.1
2002.04,361,819,5248,4206,14894,7104,275,155.1,27.7,4.3,53.3663,230,2.3
2002.05,488,875,6477,4221,16333,7767,290,58,27.7,10,61.7963,230,2.3
2002.06,236,674,3291,3062,13010,6904,227,61.4,32,14.5,61.48,230,2
2002.07,387,804,4563,3967,14755,7074,250,220.6,34.8,18.9,74.2709,50,2.1
2002.08,379,744,4508,3875,13062,6905,262,688,32.2,17.9,78.9296,360,2
2002.09,405,781,6779,3620,13446,7389,253,61.1,30.6,13.5,66.8367,20,1.6
2002.1,388,879,6563,4414,15831,7363,220,45,24.9,-0.3,60.4837,340,2
2002.11,306,770,6760,4597,15495,6201,195,12.5,16.7,-4.8,55.38,230,2.4
2002.12,252,630,4908,3759,13271,6186,175,15,15.9,-9.1,59.3296,270,2.2
2003.01,295,632,2796,4045,13089,6096,170,14.1,8.7,-15.5,60.1487,250,2.5
2003.02,255,697,4283,4068,11658,5845,198,39.6,11.9,-8.3,61.4607,230,2.2
2003.03,419,786,6130,5115,12979,6814,217,26.8,20.9,-5,58.1419,270,2.3
2003.04,377,773,6029,4907,12796,6830,203,139.6,24.6,4.8,59.6663,250,2.5
2003.05,389,738,6932,4754,13376,7177,180,106,30.4,8.5,56.9774,50,1.8
2003.06,394,823,4294,5062,14912,7423,185,156,31.1,14.4,68.5766,200,2
2003.07,542,857,5123,5150,15070,7437,211,469.8,31.4,18.3,75.1256,50,1.8
2003.08,500,761,5241,4571,15069,6838,165,684.2,32.2,16.6,77.0645,230,1.4
2003.09,763,730,7293,4918,13229,7284,173,258.2,28.7,13.8,72.38,230,1.1
